VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20
31,835.2941176,0.388888889,857.1428571,658.1951615,22.72736364,0.721486857,199.0613727,,58.63254762,35.60350706,15.01251043,20.4,1,20,1.106348277,612.82,0,0,63.88640275
32,1000,0.833333333,,624.3248968,2.727272727,0.685021184,197.1874753,2.147492524,58.63254762,,180.1501251,,1,,1.112841145,,0,0,107.8554217
33,952.9411765,0.111111111,,643.4930122,9.090909091,0.861531512,198.028722,,56.89704396,3.016565121,100.0834028,3.333333333,2,6.666666667,1.215047878,999.77,0,1,101.1583477
34,892.9411765,0.388888889,357.1428571,624.8325919,8.181818182,1.13849161,198.1620155,,58.63254762,4.703291403,80.06672227,4.511333333,3,4.511333333,1.308424627,,0,1,98.25645439
35,935.2941176,0.138888889,,611.5747476,5.454545455,1.68843406,199.0988505,1.907931605,47.89968639,1.409532152,,14.66666667,2,14.66666667,1.773534482,,1,0,101.4251291
36,932.9411765,0.833333333,357.1428571,689.5654655,6.818181818,2.150368389,199.1675231,197.6334803,58.63254762,,350.2919099,,1,,2.19870807,,1,0,88.03442341
37,981.1764706,0.388888889,,614.6489289,9.090909091,0.59578501,197.0247191,9.890443658,58.63254762,3.593128912,5.004170142,10.33333333,1,10.33333333,0.996501174,,0,0,146.9449225
38,951.7647059,0.161733333,,611.5747476,27.27272727,1.393457735,198.2942888,4.82544137,,0.55300229,0.834028357,28.66666667,1,28.66666667,1.398840503,,0,1,126.8846816
39,945.8823529,0.555555556,,617.2749379,6.363636364,1.057905516,197.6809183,,58.63254762,9.173046752,160.1334445,13.33333333,2,13.33333333,1.186591906,,0,0,124.253012
40,868.2352941,4.166666667,,611.5747476,7.818181818,,,,47.89968639,,8.34028357,,1,,,,0,1,199.4320138
41,969.4117647,0.083333333,35.71428571,611.5747476,6.636363636,0.563529806,196.922914,22.08666116,,0.799705065,15.01251043,5.333333333,3,7.333333333,0.95931523,377.82,0,1,121.0688468
42,1000,0.388888889,,617.0333451,11.36363636,0.892809285,197.9321502,,58.63254762,0.538449598,80.06672227,16.66666667,2,16.66666667,1.192479439,,0,0,141.9432014
43,828.2352941,0.833333333,178.5714286,640.3242946,22.72736364,1.819108987,198.6952558,12.99190199,58.63254762,,,,1,,2.208935587,,1,0,248.0929432
44,888.2352941,,142.8571429,611.5747476,3.363636364,0.559827744,196.9112949,22.08666116,47.89968639,,,,2,,0.95931523,,0,0,112.1290878
45,908.2352941,0.833333333,107.1428571,623.6333811,22.72736364,1.764079297,199.8243168,,55.59836775,4.105938053,,22,2,22,2.016310346,,0,1,96.34079174
46,935.2941176,0.388888889,71.42857143,636.0631573,22.72727273,1.085445424,198.4578744,99.6787317,58.5874696,1.163522361,30.02502085,13.33333333,2,13.33333333,1.461024117,,1,1,756.626506
47,818.8235294,0.166666667,321.4285714,611.5747476,22.72736364,1.836262354,204.0046843,58.14913523,,65.00410247,5.004170142,66.66666667,1,66.66666667,2.169949432,,2,1,431.172117
48,894.1176471,0.166666667,71.42857143,636.9034802,3.909090909,0.651956826,198.4924529,1.501533618,58.11200385,0.07414943,40.03336113,1.333333333,3,1.333333333,1.039919428,,1,1,117.8519793
49,983.5294118,0.316022222,,653.2635165,68.18181818,5.547451058,205.6289646,,56.59330398,0.302834587,40.03336113,5.666666667,3,5.666666667,5.107917956,,0,1,191.8829604
50,812.9411765,0.333333333,250,612.6128965,13.63636364,1.045023484,197.0956011,1.629869824,55.25491619,,,,5,,1.087348679,,0,1,266.8554217
51,918.8235294,0.083333333,,613.2011225,,0.870890497,197.0960341,36.2507005,58.63254762,,48.3736447,,1,,1.207810186,,0,0,132.8898451
52,1000,0.388888889,,611.5729969,27.27272727,0.559709593,196.9110233,22.08666116,47.89968639,,250.2085071,,1,,0.95931523,,0,0,143.1876076
53,955.2941176,0.138888889,71.42857143,624.9428843,12.72727273,1.006123186,197.8921695,,58.63254762,0.05335987,70.05838198,0.666666667,2,0.666666667,1.247430626,,0,0,115.6024096
54,914.1176471,1.944444444,35.71428571,623.7366708,18.18181818,0.862612772,197.3753194,,58.63254762,2.499598069,45.03753128,14.33333333,1,14.33333333,1.230823414,,0,0,116.0258176
55,929.4117647,0.055555556,107.1428571,611.5747476,5.454545455,0.690391681,197.8170231,33.45724907,,0.821187611,,3.466666667,1,3.466666667,1.027304789,1000,1,1,185.6798623
56,811.7647059,0.166666667,750,650.987642,,0.559709593,197.4070206,210.0735366,58.63254762,8.584009225,,10,1,10,0.95931523,1000,0,0,543.7487091
57,962.3529412,0.833333333,35.71428571,623.3567748,8.181818182,1.65308187,198.6402722,202.2193608,58.63254762,1.475365758,130.1084237,6.666666667,1,6.666666667,1.039279879,821.04,1,1,153.5197935
58,955.2941176,0.138888889,214.2857143,707.5886409,14.54545455,1.853823878,203.3521405,0.175392816,58.63254762,,200.1668057,,1,,2.207322239,,0,0,355.5800344
59,968.2352941,0.222222222,,625.06193,22.72727273,1.861346154,199.7387696,,58.63254762,3.050521402,,16.66666667,1,16.66666667,2.363322129,,1,0,132.130809
60,904.7058824,0.222222222,,629.7922477,15.90909091,1.202389781,198.820791,,58.63254762,,250.2085071,,1,,1.474949436,,0,0,102.9208262
61,935.2941176,1.516666667,35.71428571,614.02744,11.36363636,0.571922103,196.965816,254.9740975,58.63254762,,180.1501251,,1,,0.977269969,,0,0,325.1239243
62,858.8235294,0.222222222,,621.4100268,3.636363636,1.142931221,198.0246703,,58.63254762,0.082465254,40.03336113,11.66666667,2,11.66666667,1.502007875,,1,0,129.757315
63,881.1764706,0.833333333,464.2857143,631.6041939,,1.449292999,198.0029514,109.3039472,58.63254762,4.267403633,88.40700584,4,2,10.66666667,1.321660391,1000,1,0,92.56798623
64,943.5294118,0.027777778,,614.2392714,,0.634602961,197.0587178,,58.63254762,2.492668215,88.40700584,5.8,1,5.8,1.037961303,82.57,0,0,121.5215146
65,920,0.088888889,107.1428571,613.5442544,7.272727273,0.597306651,196.9831457,234.5985857,58.63254762,2.199535423,300.2502085,18.66666667,1,18.66666667,0.972929986,,0,0,99.26333907
66,947.0588235,0.166666667,250,666.664916,,2.374425514,206.6122174,,58.63254762,5.572295001,18.34862385,6.666666667,2,6.666666667,2.21041734,368.36,0,0,106.7263339
67,929.4117647,1.666666667,35.71428571,611.5747476,22.72736364,2.999200466,198.6361031,16.52542554,,5.756629098,40.03336113,22,2,22,2.752575712,,0,1,373.6127367
68,914.1176471,,,625.6816682,5,1.415698752,198.3899945,269.2408058,58.63254762,,300.2502085,,1,,,,0,0,138.2134251
69,983.5294118,0.166666667,,627.1662386,18.18181818,0.905687736,198.0095647,,58.63254762,2.674923356,15.01251043,12.66666667,1,12.66666667,1.274352207,,0,0,108.3493976
70,907.0588235,0.114711111,35.71428571,618.1240142,18.18181818,0.751425587,197.3094433,,58.63254762,,15.01251043,,1,,1.090506944,,0,0,107.3149742
71,875.2941176,0.033333333,607.1428571,654.8828888,3.636363636,0.575523916,197.4560221,,58.63254762,5.067801684,10.00834028,1.333333333,1,3,0.9707192,1000,1,0,136.2977625
72,874.1176471,1.944444444,642.8571429,639.9251412,3.181818182,0.626941052,197.7433593,,58.63254762,11.36981023,10.84236864,9,2,8.333333333,0.994390399,1000,0,0,92.24956971
73,967.0588235,0.027777778,,641.8316238,6.363636364,1.836190747,199.4483717,,58.63254762,0.573791849,80.06672227,13.33333333,1,13.33333333,2.096904016,,0,0,107.0344234
74,947.0588235,0.833333333,,626.0790709,27.27272727,2.764853468,201.4723051,,58.63254762,,160.1334445,,2,,3.603449266,,1,0,145.6110155
75,900,0.138888889,35.71428571,626.2296287,2.727272727,0.754311334,197.3413941,65.66963694,58.63254762,0.071377489,180.1501251,1.666666667,1,1.666666667,1.102366231,,0,0,107.6884682
76,960,0.133333333,,611.5747476,9.090909091,0.744615797,197.1184063,22.08666116,,0.262641438,410.3419516,6.8,1,6.8,1.041053771,,1,1,100.3958692
77,883.5294118,0.25,750,650.1490698,34.09090909,2.127987738,204.9978974,18.00556979,58.63254762,16.84231535,,5.629333333,2,16.66666667,1.937487936,935.32,1,0,94.16351119
78,976.4705882,0.111111111,35.71428571,635.7848003,6.590909091,1.503613784,198.6876369,,58.63254762,0.115728549,30.02502085,13.33333333,1,13.33333333,1.675362433,,1,0,165.5679862
79,854.1176471,0.166666667,250,643.3652131,18.18181818,1.093673025,197.9776139,53.32369386,58.63254762,4.791993525,160.1334445,6.666666667,2,6.666666667,1.574345313,,0,0,126.0172117
80,848.2352941,0.041666667,71.42857143,684.9787031,11.36363636,2.188183847,200.9869874,1.907931605,53.32944088,29.20378758,0.834028357,5,2,12.86666667,2.107652646,1000,0,1,353.3924269
81,964.7058824,0.027777778,,645.4064974,2.727272727,0.984941947,197.951513,32.83267953,58.63254762,0.109491681,5.004170142,13,1,13,1.364315398,,0,0,106.9741824
82,847.0588235,0.388888889,,636.4675627,118.1818182,0.782076802,197.4018313,7.327997399,58.63254762,,,,1,,1.077126426,,0,0,179.242685
83,982.3529412,0.388888889,35.71428571,613.2011225,16.36363636,1.395219258,198.1073549,,51.11417832,1.496155317,210.175146,16.66666667,3,16.66666667,1.67834173,,0,1,126.3476764
84,881.1764706,0.027777778,750,611.5747476,3.909090909,4.599339978,205.7421613,22.08666116,,,80.06672227,,1,,5.37337543,,0,1,114.4509466
85,967.0588235,0.138888889,,652.6542824,4.545454545,0.893604118,197.7232478,,51.08734617,12.24574368,,13.86666667,2,19,1.296346894,845.91,0,1,155.6506024
86,950.5882353,0.055555556,,661.3638791,4.545454545,1.075126909,197.9550509,,58.63254762,0.039500164,390.3252711,0.666666667,1,0.666666667,1.149524398,,0,0,109.5301205
87,881.1764706,0.833333333,250,622.2048322,14.54545455,1.721104582,198.0254924,,58.63254762,0.234922025,160.1334445,28.26666667,1,28.26666667,1.695283192,,0,0,93.07056799
88,,1.355555556,71.42857143,611.5747476,2.181818182,0.706879106,197.1905654,6.25852901,,,10.00834028,,1,,1.043111908,,0,1,98.8777969
89,875.2941176,0.083333333,535.7142857,672.8395386,13.63636364,1.532367424,206.7235204,,58.63254762,9.229871548,,15.33333333,2,15.33333333,1.569036795,740.97,1,0,134.6316695
90,932.9411765,1.111111111,642.8571429,611.5747476,6.363636364,0.764386386,205.30528,64.19804843,,6.540395501,,1.466666667,1,7.8,1.15670682,1000,0,1,86.74870912
91,885.8823529,,107.1428571,620.1022743,,0.559709593,197.3760607,210.0735366,58.63254762,5.611795165,8.34028357,8.666666667,1,8.666666667,0.95931523,822.18,0,0,107.232358
92,915.2941176,2.222222222,,611.5747476,22.72727273,5.513169387,206.685749,4.675715795,47.89968639,1.989560869,400.3336113,13.33333333,2,13.33333333,5.072490114,,0,1,132.7280551
93,874.1176471,1.944444444,71.42857143,616.9895782,27.27272727,0.612816645,197.0248146,35.6047416,58.63254762,6.473868909,200.1668057,20,1,20,1.01390848,1000,1,0,98.2444062
94,967.0588235,0.083333333,,611.2718812,8.181818182,0.617009213,196.8935395,107.584242,47.89968639,0.069298533,,3.333333333,1,3.333333333,0.967550407,,1,0,137.8846816
95,988.2352941,0.611111111,,628.7278387,22.72727273,2.74703774,200.9445698,,58.63254762,0.020096574,,3.133333333,2,3.133333333,2.517669192,,0,0,183.5989673
96,952.9411765,0.016666667,35.71428571,646.7755235,1.818181818,1.463188265,199.1988867,466.472166,58.63254762,0.677046663,240.2001668,14.66666667,1,14.66666667,1.229333765,,0,0,112.7555938
97,792.9411765,33.33333333,392.8571429,611.5747476,15.45454545,3.796164285,202.7418234,4.675715795,,24.95717351,230.1918265,15.33333333,2,15.33333333,2.615609635,966.21,2,1,102.8468158
98,943.5294118,0.111111111,35.71428571,617.0666078,0.018181818,0.815363141,197.4178764,84.29122052,58.63254762,0.138597065,250.2085071,11,3,11,1.156409416,,1,1,110.4956971
99,901.1764706,0.007777778,71.42857143,617.0193397,3.181818182,0.865505679,197.4337894,65.66963694,53.29187587,0.079693312,30.02502085,3.333333333,4,3.333333333,1.116549475,,0,1,105.777969
100,863.5294118,0.833333333,107.1428571,611.5747476,8.181818182,2.669548633,201.5074928,22.08666116,,0.846828068,15.01251043,4.666666667,2,4.666666667,3.356722938,896.07,1,1,106.5490534
101,943.5294118,0.055555556,107.1428571,615.6748231,4.545454545,0.628706155,197.0144285,,58.63254762,4.340860078,200.1668057,8.333333333,1,8.333333333,0.989202948,793.26,1,0,100.1187608
102,835.2941176,0.027777778,535.7142857,619.5490617,22.72736364,0.716474394,199.0121583,,58.48980056,17.45006348,,16.66666667,6,16.66666667,1.061000849,998.41,0,1,81.45783133
103,904.7058824,0.083333333,35.71428571,622.1978295,31.81818182,0.884656871,197.5794141,100.5599736,58.63254762,2.916082249,40.03336113,10,1,10,1.399077373,,0,0,105.6987952
104,851.7647059,,,663.2160908,,1.398398592,199.0763975,,58.63254762,,,,1,,1.460100325,,0,0,106.0567986
105,849.4117647,0.166666667,571.4285714,611.5747476,5.181818182,0.803490763,198.4772225,,47.89968639,18.23452287,,17,2,17,1.117373255,982.9,0,1,136.1583477
106,967.0588235,0.138888889,,620.5154331,7.727272727,0.942758485,197.6910328,,58.63254762,2.05608746,80.06672227,20,1,20,1.227952024,,1,0,101.2805508
107,851.7647059,0.027777778,71.42857143,623.7489255,6.636363636,1.097443113,198.1405242,,58.63254762,1.023539326,,6.666666667,1,6.666666667,1.321770931,,0,0,171.5679862
108,961.1764706,0.166666667,,611.1003153,,0.565377257,196.8764301,52.2499476,47.89968639,,,,1,,0.95931523,,0,0,107.9173838
109,785.8823529,0.138888889,321.4285714,630.170393,2.272727273,0.712578993,197.262152,52.92157374,58.63254762,1.110162491,40.03336113,3.2,1,1.333333333,1.075868384,280.27,0,0,177.5576592
110,854.1176471,0.333333333,214.2857143,712.0318482,,2.370000225,203.4395887,,58.63254762,,250.2085071,,2,,2.129386776,,0,0,94.86230637
111,936.4705882,0.027777778,35.71428571,619.6015819,,0.822441456,197.4497318,,58.63254762,0.601511262,48.3736447,8.333333333,1,8.333333333,1.211863293,,0,0,106.7659208
112,874.1176471,0.083333333,250,671.6385771,,1.371739446,200.4788204,,58.63254762,6.242411811,88.40700584,6.333333333,1,3.126666667,1.503955472,1000,0,0,129.2375215
113,971.7647059,,,611.5747476,9.090909091,0.742607231,197.3218625,5.779407172,,,,,1,,1.11145414,,1,1,137.7091222
114,929.4117647,,,613.1573557,22.72727273,0.641437813,197.0440306,14.18542871,58.63254762,,,,1,,0.960710131,,0,0,121.1239243
115,937.6470588,0.888888889,142.8571429,611.5747476,18.18181818,0.62422,197.1155804,22.08666116,,1.836411112,440.3669725,21.36666667,1,21.36666667,1.054157941,,0,0,166.211704
116,922.3529412,22.22222222,214.2857143,611.5747476,22.72736364,31.86632593,256.9272735,22.08666116,,5.366478359,210.175146,22.8,1,22.8,24.50576317,,0,1,96.68502582
117,971.7647059,2.222222222,35.71428571,657.1955274,,52.13209241,276.0202386,,50.1106558,24.70631282,62.55212677,19.29666667,2,19.29666667,37.24543216,167.87,0,1,493.8898451
118,967.0588235,4.166666667,35.71428571,622.0700304,7.454545455,1.04054091,197.9849979,,58.63254762,2.40743102,,8,2,20.66666667,1.28513242,535.12,1,0,142.8106713
119,971.7647059,0.138888889,35.71428571,616.8407711,8.636363636,1.563691741,198.1503744,0.316562643,56.68560659,1.514865921,,6.666666667,4,7.006,1.412118377,109.79,0,1,100.6798623
120,871.7647059,0.163522222,321.4285714,611.5747476,18.18181818,6.004759599,211.6631474,22.08666116,,,,,2,,4.596657948,,0,1,156.5834768
121,895.2941176,0.833333333,357.1428571,676.8625844,6.636363636,2.257030035,205.5336553,4.196593957,58.63254762,6.27221018,15.01251043,10,2,10,3.292165361,931.17,1,0,1000
122,825.8823529,8.333333333,678.5714286,611.5747476,7.272727273,0.614363348,197.3848393,22.08666116,,0.419949107,,4.666666667,2,4.666666667,1.039664134,1000,0,0,214.8726334
123,914.1176471,2.222222222,71.42857143,613.8103566,27.27272727,6.840111729,208.4911573,1.176415228,48.17552092,,300.2502085,,3,,4.177192924,,3,1,286.3373494
124,942.3529412,0.027777778,142.8571429,640.6061529,4.545454545,0.714856084,199.4064899,,58.63254762,0.162851551,15.01251043,5.333333333,1,5.333333333,1.073362827,1000,0,0,102.4595525
125,924.7058824,0.833333333,,661.1958145,22.72736364,4.056952027,204.1928734,,58.63254762,0.442124638,5.004170142,19.33333333,1,19.33333333,3.707077219,,0,0,133.1204819
126,848.2352941,,750,613.4129539,,0.564929716,196.9729578,71.22659468,58.63254762,0.196807832,,2.4,1,2.4,0.966774,933.1,0,0,102.4148021
127,847.0588235,0.833333333,678.5714286,735.7079458,18.18181818,1.318439055,201.5953227,,58.63254762,12.67192966,5.004170142,13.33333333,1,13.33333333,1.71510394,1000,0,0,156.9328744
128,1000,,,620.19506,10,0.741919807,197.3810959,,58.63254762,0.186413053,250.2085071,8.666666667,1,8.666666667,1.137388763,,1,0,105.0430293
129,903.5294118,0.083333333,,615.7045845,5.181818182,2.031687571,198.4135337,,49.136112,1.277171955,40.03336113,18.66666667,2,18.66666667,2.168393986,60.77,0,1,108.0981067
130,998.8235294,0.138888889,35.71428571,623.5756089,12.27272727,1.018765336,197.6660476,,58.63254762,1.886306056,350.2919099,16.13333333,1,16.13333333,1.296631138,,0,0,106.848537
131,831.7647059,4.166666667,178.5714286,708.4727306,9.090909091,2.001594887,198.9426049,197.9585987,58.63254762,12.02121644,5.004170142,9.333333333,1,9.333333333,1.833404667,661.5,1,0,87.19104991
132,949.4117647,0.083333333,,611.5747476,8.181818182,,,,47.89968639,4.902871177,,10.33333333,1,10.33333333,,69.96,0,0,106.929432
133,896.4705882,0.083333333,35.71428571,617.1576428,2.727272727,1.36897185,198.3497202,,50.39722319,0.216211422,5.004170142,2.866666667,3,2.866666667,2.016323505,,0,0,107.3528399
134,967.0588235,0.111111111,,611.5747476,9.090909091,0.559709593,196.9112949,22.08666116,47.89968639,1.797603934,,23.33333333,1,23.33333333,0.95931523,,0,0,105.3580034
135,929.4117647,,,617.5690509,,0.653668224,197.1123509,14.23676319,58.63254762,,,,1,,1.019517033,,0,0,130.3166954
136,934.1176471,4.166666667,,644.799014,6.363636364,0.932490095,197.747088,,58.63254762,0.034649266,,3.333333333,1,3.333333333,1.274610132,,1,0,134.2271945
137,922.3529412,0.055555556,35.71428571,631.6952289,14.54545455,2.234645804,199.8722026,,58.63254762,0.332632956,2.502085071,14.33333333,2,14.33333333,1.911611215,,1,0,107.0877797
138,938.8235294,0.388888889,285.7142857,622.8578331,11.36363636,0.861746331,197.510536,,58.63254762,3.660348488,180.1501251,13.33333333,1,13.33333333,1.102181999,1000,0,0,92.87951807
139,985.8823529,0.833333333,71.42857143,627.174992,8.181818182,1.171921162,198.023239,,58.63254762,0.7130819,90.07506255,3,1,3,1.479455228,,1,0,102.3253012
140,870.5882353,2,,611.5747476,,0.567167423,196.9418804,22.08666116,,13.1514755,,15.66666667,1,15.66666667,0.970282307,880.12,1,1,106.0567986
141,955.2941176,0.333333333,71.42857143,611.5747476,18.18181818,,,,47.89968639,1.301426441,,8,1,8,,1000,1,0,201.2512909
142,937.6470588,0.138888889,35.71428571,618.5214169,8.181818182,0.94605955,197.5579007,,58.63254762,0.596660365,130.1084237,16.33333333,1,16.33333333,1.247699079,,0,0,107.5972461
143,857.6470588,0.027777778,428.5714286,616.8862886,3.909090909,1.538002865,198.47814,,52.95915717,2.606317809,,5.333333333,4,5.333333333,1.505771475,,0,1,77.17383821
144,867.0588235,0.277777778,178.5714286,611.5747476,45.45454545,3.717432802,203.0810833,22.08666116,,,,,1,,2.212896578,,0,1,651.616179
145,947.0588235,0.577777778,35.71428571,611.5747476,10.90909091,1.441648992,198.7183179,4.709938784,,4.14197329,,8.333333333,1,8.333333333,1.511014195,1000,2,1,327.1652324
146,868.2352941,,357.1428571,611.5747476,,0.559709593,196.9112949,22.08666116,47.89968639,,,,1,,0.95931523,,0,0,113.475043
147,877.6470588,0.444444444,392.8571429,711.9478159,4.545454545,0.816301188,203.2236766,,58.63254762,,540.4503753,,1,,1.117228502,,1,0,222.2358003
148,1000,0.027777778,,611.706048,13.63636364,0.565076509,196.9222974,22.08666116,58.63254762,1.281329867,80.06672227,16,1,16,0.96326043,,1,0,106.7194492
149,950.5882353,0.083333333,142.8571429,614.5333845,,1.984566832,197.2213198,2.45549942,58.63254762,42.29566635,88.40700584,6.666666667,1,53.66666667,2.951822782,999.48,0,0,106.3493976
150,884.7058824,1.944444444,821.4285714,611.5747476,4.545454545,21.62756335,212.9124956,9.01347958,,14.05720732,30.02502085,16.66666667,1,16.66666667,16.44621456,723.24,1,1,244.9604131
151,930.5882353,0.138888889,214.2857143,611.5747476,9.090909091,0.989349335,199.7631015,,47.89968639,7.193880662,15.01251043,13.33333333,2,13.33333333,1.002301854,601.19,0,1,94.86919105
152,980,1.944444444,71.42857143,643.1446283,19.09090909,2.391299615,201.0840949,,56.17257582,3.712322388,160.1334445,13,2,13,2.356958224,1000,0,1,195.3476764
153,1000,0.111111111,178.5714286,611.5747476,9.090909091,0.658795258,197.3304502,31.72043241,,5.205012779,,16.66666667,1,16.66666667,1.030813096,511.25,1,1,111.2237522
154,880,0.083333333,142.8571429,625.7516951,8.181818182,0.903339039,197.7434841,0.479121838,58.63254762,0.011087765,5.004170142,7,3,7,1.20587838,,0,0,100.1807229
155,903.5294118,0.721277778,285.7142857,647.1606715,59.014,0.834464208,197.3588999,,58.63254762,8.345622273,80.06672227,5.8,1,8,1.177943523,886.74,0,0,96.27538726
156,1000,,,613.4042006,,0.607585782,197.0109934,7.559002571,58.63254762,0.155228713,,10,1,10,1.00184917,,0,0,118.535284
157,991.7647059,,35.71428571,626.0335534,9.090909091,1.32162555,198.0266668,,58.63254762,0.139983036,450.3753128,13.33333333,2,13.33333333,1.362694155,,0,0,107.373494
158,978.8235294,1.111111111,35.71428571,611.5747476,7.727272727,0.728998392,197.2979856,5.72807269,,,420.3502919,,1,,1.089443661,,0,1,98.71428571
159,961.1764706,1.944444444,35.71428571,611.5747476,13.63636364,0.647474251,197.0757245,22.08666116,,1.022153355,320.2668891,39.8,1,39.8,1.024778177,,0,1,98.40275387
160,975.2941176,0.027777778,,617.6530832,11.36363636,0.806881336,197.6018009,40.90502693,57.14282648,0.730406533,5.004170142,10,3,10,1.074268196,,0,1,130.9259897
